file_name,caption,duration
172023.wav,The rap song has a catchy riff with percussion based on claps and beats but there is a vocal rap on top that goes into a chorus that one can sing along to,239.2
1050845.wav,"Synthetic orchestral piece in the style of a 90s war movie battle scene soundtrack, with prominent bass drums and dry brass section harmonies",211.7
347879.wav,"Funky and jazzy song performed by a man vocalist, perfect for relaxing, dancing or even driving at night.",229.2
537123.wav,Spanish-spoken song with a 90's vibe of latin pop.,249.3
533186.wav,"New-era soundtrack starting with fast, minimalist beats, with strings added later. Suitable for heroic, sci-fi theme.",411.8
1408401.wav,Smooth jazz song with leading saxophone. Quiet and peaceful with a low acoustic bassline.,198.9
1009673.wav,Upbeat song that has a humming riff accompanied by guitar licks that can be used for a casual listening setting,169.0
24026.wav,Instrumental electronic track with a big windy pad holding the structure of the song. Modular leads come in and out of the surface of the track until halfway through the pad disappears and leaves way to a simple drum beat.,452.8
352691.wav,Piano solo song that transmits melancholic and nostalgic  feelings,167.6
1069500.wav,Elegant and pure sounds that convey a sense of order and cleanliness,211.2
103089.wav,"Heavy metal song with folk influences, drum and distorted guitars are sustained by a French speaking male voice and a synth lead, in some point the music stops and there is a rain sample.",210.1
1155158.wav,A dramatic and emotional solo piano track modern and classic at the same time.,220.4
1214580.wav,"Classical Piano Jingle Solo, Happy and Fun 145 BPM",146.0
785436.wav,One can only think of good things in life while listening to this instrumental piece.,214.5
296236.wav,"Futuristic experimental song with piano over a drum and bass rhythm, with an accordion added towards the middle of the song.",223.9
1119019.wav,A rock song that transitions between calming humming melody and regular rock singing giving a change of feel throughout the song,291.3
1057890.wav,"A symphonic orchestra intro, followed by piano and electronic sounds, builds into a modern calm electronic song with female vocals and some ethnic atmosphere.",384.2
437791.wav,An  track that's reminiscent of early 2010's popular alternative rock scene.,222.3
461012.wav,"This electronic track combines synths with guitar, builds up slowly and then bangs it with a electric guitar solo.",281.5
1162014.wav,A pop-rock track very close to a proto-punk sound.,193.8
337825.wav,Eerie and anxious feel that picks up with various sample instruments in a loop,419.9
134057.wav,Futuristic jazz track with a saxophone as the main melody.,128.1
83867.wav,Energetic guitar and cajon duo accompanied by a portuguese singing woman.,161.7
219026.wav,"mysterious, alluring and mellow instrumental track that seems from movies or games",388.0
1009672.wav,A joyful and lively song that will make you want to dance right away,147.9
973503.wav,"Bluesy rock and roll boogie with piano and distorted guitars, male singer and roomy drums.",213.6
500970.wav,"An upbeat, dancing electro track perfect for an epic commercial",249.6
6008.wav,Typical reggae song with a male singer supported by some soft drums and bass,162.0
79524.wav,A rock riff that rises in energy as it includes instruments like an electric guitar and a distorted bass. It seems perfect as background music for some kind of series.,244.8
1356312.wav,A pop-rock love song from the 80's that conveys a quiet sense of positivity.,324.4
305163.wav,"Latin chill song with a bosa nova flavour, accompanied by a melodic trumpet and sung by a male voice.",179.6
25254.wav,An instrumental ambiental track that reminds a bit of Moby.,212.1
296241.wav,Electronic instrumental track with windy samples and square flangered sounds. A strong drum beat keeps the main lead going through the song until the bass comes in. The song has the atmosphere of rainy cyberpunk scenarios.,261.4
1397143.wav,Genre seems like a band music and reminds me of fun happy party,178.5
723360.wav,"This is a very fast and dynamic gipsy track with trumpets and voices, that makes you want to jump.",237.6
1143153.wav,A sentimental piano piece which makes one contemplate about stuff but not so deeply.,184.0
83880.wav,"Percussive, Hispanic Latin American Sounding Folk Guitar song with female vocalist. Upbeat. Could hear it in a Mediterranean Bar setting  fruity drinks at the bar  and tapas at the table.",161.6
296237.wav,"An instrumental track that starts out with dreamy string instruments, flutes and synths over an upbeat hip hop beat, while in the second half, a piano kicks in and gets more dominant and dynamic throughout, evoking melancholic feelings.",250.6
1245192.wav,"Repetitive, sad feeling pop song with a piano intro, finger snapping and female vocal samples.",250.8
246601.wav,"epic song, film and game music, synthetic sound",144.8
190871.wav,Hip-pop and Thug Rap with male voice. Bass and hi-hat Loop.,259.8
24560.wav,"Typical guitar-folk song with no lyrics, but a choir of voices being used for giving texture.",172.5
264261.wav,Pleasant Electro-pop with missing lyrics. The main melody pad is louder.,242.3
33326.wav,A fuzzy and dampened electronic piece which progressively brightens throughout the track.,315.6
1350853.wav,A musical call to be in the here and now with this deeply spiritual piece.,400.0
175043.wav,French song with male voices and some guitars jamming together,303.2
1288067.wav,"This is very Arabic/Turkish kind of music, there is a single string instrument that is plucked with a constant rhythmic drums, and it sounds mysterious",179.5
